date,prophet,lstm,rf,gb,ensemble,is_forecast
2016-04-05,2047.9040798159044,4254.234881171584,6198.01,6198.01,3954.8350962778372,False
2016-04-06,2049.7622826276574,4267.9493461734055,6198.01,6198.01,3959.692716903085,False
2016-04-07,2050.016001187349,4277.849392584561,6198.01,6198.01,3962.7642182503087,False
2016-04-08,2051.5188201842952,4285.8744321042295,6198.01,6198.01,3965.7728577049875,False
2016-04-11,2053.1843282439963,4292.210411686897,6198.01,6198.01,3968.339854803668,False
2016-04-12,2055.013969529525,4297.166073445677,6198.01,6198.01,3970.558409845514,False
2016-04-13,2056.6779632965204,4301.024347450137,6198.01,6198.01,3972.3814895536493,False
2016-04-14,2056.678972865672,4304.050371001958,6198.01,6198.01,3973.289700446857,False
2016-04-15,2057.8862030875466,4306.411045275926,6198.01,6198.01,3974.480794817797,False
2016-04-18,2058.4361764270757,4308.2680087971685,6198.01,6198.01,3975.257873209981,False
2016-04-19,2059.8439368273594,4309.748066362142,6198.01,6198.01,3976.2649946395863,False
2016-04-20,2061.068374782876,4310.914369766711,6198.01,6198.01,3977.1046608431643,False
2016-04-21,2060.6149995945752,4311.8749286299935,6198.01,6198.01,3977.2114784268283,False
2016-04-22,2061.364459759181,4312.628489940166,6198.01,6198.01,3977.7373308857227,False
2016-04-25,2060.555627615907,4313.232692241072,6198.01,6198.01,3977.5950587186844,False
2016-04-26,2061.5358130751683,4313.7085861313335,6198.01,6198.01,3978.1299010694675,False
2016-04-27,2062.353048590781,4314.077974016666,6198.01,6198.01,3978.5676116413124,False
2016-04-28,2061.5176973829152,4314.346870353817,6198.01,6198.01,3978.3141400593113,False
2016-04-29,2061.9175355785765,4314.553366702198,6198.01,6198.01,3978.53602424209,False
2016-05-02,2060.306044662753,4314.694706435799,6198.01,6198.01,3977.933829795841,False
2016-05-03,2061.119757010606,4314.78692810595,6198.01,6198.01,3978.2869812360277,False
2016-05-04,2061.8304621007237,4314.845569059252,6198.01,6198.01,3978.5888555580655,False
2016-05-05,2060.9544862254306,4314.861607610583,6198.01,6198.01,3978.243276773347,False
2016-05-06,2061.38405328372,4314.849829299449,6198.01,6198.01,3978.411570103323,False
2016-05-09,2060.3310510565984,4314.8220124369855,6198.01,6198.01,3977.9820241537354,False
2016-05-10,2061.4987270600036,4314.790687141418,6198.01,6198.01,3978.439696966427,False
2016-05-11,2062.651137388916,4314.761617267131,6198.01,6198.01,3978.891940135706,False
2016-05-12,2062.3040940398487,4314.736306428313,6198.01,6198.01,3978.7455295444333,False
2016-05-13,2063.3503374883076,4314.723024502992,6198.01,6198.01,3979.160042346221,False
2016-05-16,2064.6344893554574,4314.724277514815,6198.01,6198.01,3979.674078996628,False
2016-05-17,2066.7289843958533,4314.729289562106,6198.01,6198.01,3980.5133806269732,False
2016-05-18,2068.8678197478266,4314.739564259052,6198.01,6198.01,3981.3719971768464,False
2016-05-19,2069.5508731053487,4314.801212440729,6198.01,6198.01,3981.6637129743585,False
2016-05-20,2071.6678748088443,4314.848075082898,6198.01,6198.01,3982.524572448407,False
2016-05-23,2076.2274349508352,4314.891930496692,6198.01,6198.01,3984.361553129342,False
2016-05-24,2079.3929122674144,4314.931024465561,6198.01,6198.01,3985.6394722466343,False
2016-05-25,2082.560044863567,4314.9428027766935,6198.01,6198.01,3986.9098587784347,False
2016-05-26,2084.200018690202,4314.946812414526,6198.01,6198.01,3987.567051200439,False
2016-05-27,2087.2043532000007,4314.919747359156,6198.01,6198.01,3988.7606654877472,False
2016-05-30,2093.765782587884,4314.866369055509,6198.01,6198.01,3991.369223751806,False
2016-05-31,2097.346575122341,4314.782667865753,6198.01,6198.01,3992.7764304086627,False
2016-06-01,2100.7756232032816,4314.675410053729,6198.01,6198.01,3994.1158722974315,False
2016-06-02,2102.501357817199,4314.546600438356,6198.01,6198.01,3994.767523258387,False
2016-06-03,2105.434187282059,4314.445858287811,6198.01,6198.01,3995.910432399167,False
2016-06-06,2110.727166209005,4314.332586019039,6198.01,6198.01,3997.993642289314,False
2016-06-07,2113.5627820239065,4314.238359529972,6198.01,6198.01,3999.0996206685545,False
2016-06-08,2116.0917678546125,4314.157916170954,6198.01,6198.01,4000.0870819931315,False
2016-06-09,2116.7654070319463,4314.091005339622,6198.01,6198.01,4000.336464414665,False
2016-06-10,2118.5314333056954,4314.02133788228,6198.01,6198.01,4001.0219746869625,False
2016-06-13,2119.77335488355,4314.037125831246,6198.01,6198.01,4001.5234797027942,False
2016-06-14,2121.166708712557,4314.042137878537,6198.01,6198.01,4002.082324848584,False
2016-06-15,2122.2468946924578,4314.11907280445,6198.01,6198.01,4002.5374797183185,False
2016-06-16,2121.4897871182147,4314.1917474901675,6198.01,6198.01,4002.256439094336,False
2016-06-17,2121.8788349771858,4314.256904104947,6198.01,6198.01,4002.4316052223585,False
2016-06-20,2119.554655402323,4314.2977522903675,6198.01,6198.01,4001.51418784804,False
2016-06-21,2120.0279165055995,4314.303516144752,6198.01,6198.01,4001.7052214456658,False
2016-06-22,2120.3549066749792,4314.301260723471,6198.01,6198.01,4001.8353408870335,False
2016-06-23,2119.0287250915835,4314.284720967412,6198.01,6198.01,4001.299906326857,False
2016-06-24,2119.0412675317098,4314.265925790071,6198.01,6198.01,4001.2992847497053,False
2016-06-27,2116.805494076396,4314.234349892139,6198.01,6198.01,4000.3955025982004,False
2016-06-28,2117.7063256215465,4314.217058328985,6198.01,6198.01,4000.7506477473144,False
2016-06-29,2118.6481508731836,4314.219063147902,6198.01,6198.01,4001.1279792936443,False
2016-06-30,2118.110668841078,4314.220566762089,6198.01,6198.01,4000.9134375650583,False
2016-07-01,2119.065832811915,4314.221569171547,6198.01,6198.01,4001.2958038762304,False
2016-07-04,2120.3562969798572,4314.222070376277,6198.01,6198.01,4001.8121399048264,False
2016-07-05,2122.579479448009,4314.223072785735,6198.01,6198.01,4002.7017136149243,False
2016-07-06,2124.868372910529,4314.223323388099,6198.01,6198.01,4003.6173461806416,False
2016-07-07,2125.6665934736106,4314.223824592828,6198.01,6198.01,4003.936784767293,False
2016-07-08,2127.925083153576,4314.223573990464,6198.01,6198.01,4004.8401054585697,False
2016-07-11,2132.6042230976586,4314.223824592828,6198.01,6198.01,4006.7118366169125,False
2016-07-12,2135.709160229715,4314.223824592828,6198.01,6198.01,4007.953811469735,False
2016-07-13,2138.7157120589654,4314.223824592828,6198.01,6198.01,4009.1564322014347,False
2016-07-14,2140.040289155842,4314.223824592828,6198.01,6198.01,4009.6862630401856,False
2016-07-15,2142.64103693228,4314.223824592828,6198.01,6198.01,4010.7265621507604,False
2016-07-18,2147.115347283912,4314.223824592828,6198.01,6198.01,4012.5162862914135,False
2016-07-19,2149.762493291643,4314.223824592828,6198.01,6198.01,4013.575144694506,False
2016-07-20,2152.1247686491083,4314.223323388099,6198.01,6198.01,4014.519904476073,False
2016-07-21,2152.624678729512,4314.223573990464,6198.01,6198.01,4014.719943688944,False
2016-07-22,2154.2951790966504,4314.223323388099,6198.01,6198.01,4015.38806865509,False
2016-07-25,2155.305660215323,4314.223323388099,6198.01,6198.01,4015.7922611025588,False
2016-07-26,2156.677716896466,4314.223323388099,6198.01,6198.01,4016.341083775016,False
2016-07-27,2157.7509631177677,4314.22282218337,6198.01,6198.01,4016.770231902118,False
2016-07-28,2156.975956606601,4314.223072785735,6198.01,6198.01,4016.460304478361,False
2016-07-29,2157.3861368453654,4314.223072785735,6198.01,6198.01,4016.624376573867,False
2016-08-01,2155.1825604479254,4314.223072785735,6198.01,6198.01,4015.742946014891,False
2016-08-02,2155.7520589314895,4314.2225715810055,6198.01,6198.01,4015.970595046898,False
2016-08-03,2156.1870867314833,4314.2225715810055,6198.01,6198.01,4016.1446061668953,False
