Date,Hybrid_Forecast
2025-06-28,6189.741335785476
2025-06-29,6193.147589219179
2025-06-30,6181.123485912058
2025-07-01,6181.740182635081
2025-07-02,6182.72680048363
2025-07-03,6179.234587260315
2025-07-04,6179.024844052707
2025-07-05,6189.082820255276
2025-07-06,6189.908453092034
2025-07-07,6179.543591431578
2025-07-08,6184.444258595915
2025-07-09,6191.251613831322
2025-07-10,6195.044615624493
2025-07-11,6201.060192895838
2025-07-12,6216.822223777389
2025-07-13,6220.693703283954
2025-07-14,6209.5806760388405
2025-07-15,6212.345035709313
2025-07-16,6215.248370769987
2025-07-17,6214.986140095475
2025-07-18,6217.318822715756
2025-07-19,6230.6565596112305
2025-07-20,6233.000173723649
2025-07-21,6222.63923370074
2025-07-22,6226.904462223365
2025-07-23,6232.0315768618275
2025-07-24,6233.902576002636
2025-07-25,6238.1185084325
2025-07-26,6252.730929907366
2025-07-27,6256.650363947065
2025-07-28,6247.409682647644
2025-07-29,6253.344475896119
2025-07-30,6260.593397271625
2025-07-31,6265.211739082707
2025-08-01,6272.765855794929
2025-08-02,6290.841465408824
2025-08-03,6297.7873972055495
2025-08-04,6291.229401853154
2025-08-05,6299.159407775045
2025-08-06,6307.792401228645
2025-08-07,6313.397245040206
2025-08-08,6321.849727234022
2025-08-09,6341.056671914145
2025-08-10,6349.635763207868
2025-08-11,6345.093242063107
2025-08-12,6355.125910792509
2025-08-13,6365.4291584653465
2025-08-14,6371.613847074399
2025-08-15,6378.905194092341
2025-08-16,6394.7484344904115
2025-08-17,6397.614441391135
2025-08-18,6385.257621809412
2025-08-19,6386.013848094183
2025-08-20,6386.527487214748
2025-08-21,6383.494252769749
2025-08-22,6383.185034630991
2025-08-23,6393.842356853921
2025-08-24,6394.351155070414
2025-08-25,6382.413661336957
2025-08-26,6385.866302751823
2025-08-27,6390.4878343947785
2025-08-28,6391.911450398898
2025-08-29,6395.337220706258
2025-08-30,6408.085811353817
2025-08-31,6408.437392073108
2025-09-01,6393.891029518667
2025-09-02,6392.49979996407
2025-09-03,6390.619491167069
2025-09-04,6384.72620178254
2025-09-05,6380.98562672226
2025-09-06,6387.622828331715
2025-09-07,6383.634160821875
2025-09-08,6366.932918030561
2025-09-09,6365.622301691729
2025-09-10,6365.73980388443
2025-09-11,6363.153500532538
2025-09-12,6363.2457920700435
2025-09-13,6373.422252605143
2025-09-14,6371.993802443143
2025-09-15,6356.4603021062
2025-09-16,6354.868216434474
2025-09-17,6353.570960998025
2025-09-18,6349.070811583423
2025-09-19,6347.567333190348
2025-09-20,6357.279701205836
2025-09-21,6357.138495972831
2025-09-22,6344.902389443886
2025-09-23,6348.419420114482
2025-09-24,6353.386560786206
2025-09-25,6355.293594948466
